age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,education_compact,education_compact_num,us,married
39,State_gov,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,2174,0,40,United_States,<=50K,Bachelor's,3,1,0
50,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,13,United_States,<=50K,Bachelor's,3,1,1
38,Private,HS_grad,9,Divorced,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
53,Private,11th,7,Married_civ_spouse,Handlers_cleaners,Husband,Black,Male,0,0,40,United_States,<=50K,No degree,0,1,1
28,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Wife,Black,Female,0,0,40,Cuba,<=50K,Bachelor's,3,0,1
37,Private,Masters,14,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,40,United_States,<=50K,Master's,4,1,1
49,Private,9th,5,Married_spouse_absent,Other_service,Not_in_family,Black,Female,0,0,16,Jamaica,<=50K,No degree,0,0,0
52,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,>50K,High school or GED,1,1,1
31,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,14084,0,50,United_States,>50K,Master's,4,1,0
42,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,5178,0,40,United_States,>50K,Bachelor's,3,1,1
37,Private,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,0,0,80,United_States,>50K,High school or GED,1,1,1
30,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,0,0,40,India,>50K,Bachelor's,3,0,1
23,Private,Bachelors,13,Never_married,Adm_clerical,Own_child,White,Female,0,0,30,United_States,<=50K,Bachelor's,3,1,0
32,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,Black,Male,0,0,50,United_States,<=50K,Associate's,2,1,0
40,Private,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,Unknown,>50K,Associate's,2,0,1
34,Private,7th_8th,4,Married_civ_spouse,Transport_moving,Husband,Amer_Indian_Eskimo,Male,0,0,45,Mexico,<=50K,No degree,0,0,1
25,Self_emp_not_inc,HS_grad,9,Never_married,Farming_fishing,Own_child,White,Male,0,0,35,United_States,<=50K,High school or GED,1,1,0
32,Private,HS_grad,9,Never_married,Machine_op_inspct,Unmarried,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
38,Private,11th,7,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,<=50K,No degree,0,1,1
43,Self_emp_not_inc,Masters,14,Divorced,Exec_managerial,Unmarried,White,Female,0,0,45,United_States,>50K,Master's,4,1,0
40,Private,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,60,United_States,>50K,Doctorate,6,1,1
54,Private,HS_grad,9,Separated,Other_service,Unmarried,Black,Female,0,0,20,United_States,<=50K,High school or GED,1,1,0
35,Federal_gov,9th,5,Married_civ_spouse,Farming_fishing,Husband,Black,Male,0,0,40,United_States,<=50K,No degree,0,1,1
43,Private,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,0,2042,40,United_States,<=50K,No degree,0,1,1
59,Private,HS_grad,9,Divorced,Tech_support,Unmarried,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
56,Local_gov,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,United_States,>50K,Bachelor's,3,1,1
19,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
54,Unknown,Some_college,10,Married_civ_spouse,Unknown,Husband,Asian_Pac_Islander,Male,0,0,60,South_Korea,>50K,High school or GED,1,0,1
39,Private,HS_grad,9,Divorced,Exec_managerial,Not_in_family,White,Male,0,0,80,United_States,<=50K,High school or GED,1,1,0
49,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
23,Local_gov,Assoc_acdm,12,Never_married,Protective_serv,Not_in_family,White,Male,0,0,52,United_States,<=50K,Associate's,2,1,0
20,Private,Some_college,10,Never_married,Sales,Own_child,Black,Male,0,0,44,United_States,<=50K,High school or GED,1,1,0
45,Private,Bachelors,13,Divorced,Exec_managerial,Own_child,White,Male,0,1408,40,United_States,<=50K,Bachelor's,3,1,0
30,Federal_gov,Some_college,10,Married_civ_spouse,Adm_clerical,Own_child,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
22,State_gov,Some_college,10,Married_civ_spouse,Other_service,Husband,Black,Male,0,0,15,United_States,<=50K,High school or GED,1,1,1
48,Private,11th,7,Never_married,Machine_op_inspct,Unmarried,White,Male,0,0,40,Puerto_Rico,<=50K,No degree,0,0,0
21,Private,Some_college,10,Never_married,Machine_op_inspct,Own_child,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
19,Private,HS_grad,9,Married_AF_spouse,Adm_clerical,Wife,White,Female,0,0,25,United_States,<=50K,High school or GED,1,1,1
31,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,38,Unknown,>50K,High school or GED,1,0,1
48,Self_emp_not_inc,Assoc_acdm,12,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,<=50K,Associate's,2,1,1
